t,lat,lon,alt
35.6,48.85659831500109,2.3522089411354843,34.86158104975411
35.7,48.856587753944154,2.352200294091461,32.33134273606425
35.8,48.85659824780475,2.352207897060811,33.93035515388887
35.9,48.85658585284458,2.352213408569046,33.87948280769372
36.0,48.856601313929566,2.3521952534827597,34.95511265269206
36.1,48.85660176718273,2.3521991389435977,34.160401364124766
36.2,48.85661035134925,2.3521927063972683,35.54093550551146
36.3,48.856597470080914,2.3521766423720396,35.28578036771008
36.4,48.85659118627198,2.3521987843614443,35.8148487029715
36.5,48.85660301117796,2.3522006935353517,34.89135263340171
36.6,48.856604787701926,2.352199924673973,34.357165755104674
36.7,48.85658678407853,2.352203689866437,34.28507953911072
36.8,48.85659961561099,2.352189639185173,36.445249879473195
36.9,48.85658730068602,2.3521959368578447,34.56185290312733
37.0,48.85661103076514,2.352196676454031,34.561907754124
37.1,48.856600215032806,2.3521876064564955,35.13121092083487
37.2,48.85659904614488,2.352194999295205,34.97249867299999
37.3,48.85658904690491,2.352194163138763,36.42374498395642
37.4,48.85660101588885,2.352203922979875,35.73222249704407
37.5,48.85661228444961,2.352199665826722,35.66296229614417
37.6,48.85660782468459,2.352211804401337,36.143787371947276
37.7,48.85659677808293,2.352194606028089,35.4766193240098
37.8,48.856588688994755,2.3521922790326206,35.47807798610941
37.9,48.85657647913775,2.352209166408073,34.462812796978255
38.0,48.85660530342373,2.3522183919757502,35.302028865349605
38.1,48.85661516812356,2.3521941620371956,34.857378582014526
38.2,48.85660292052099,2.352208685819799,36.74264764979508
38.3,48.85660276777026,2.3521913714219305,35.44886163607605
38.4,48.85660867756669,2.352191714903602,36.051279138779044
38.5,48.856579841893584,2.352199139920399,32.577942039600316
38.6,48.85658912120749,2.3522019226590714,34.461830069857236
